,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
323,2020-08-13 18:48:48.119583,2020-08-13,2,Unieuro,Android  ,Oppo,Reno Z,€179.00,€219.00,4   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,AMOLED  ,"6.4   """,No,4035   mAh,157.3   mm,74.9   mm,9.1   mm,186   g
324,2020-08-13 18:49:29.332168,2020-08-13,2,Unieuro,,Samsung,Galaxy S7 Black 32GB Nero,€149.00,€179.90,,32   GB,Single SIM  ,,Si  ,Nero  ,SAMOLED  ,"5.1   """,No,3000   mAh,142.4   mm,69.6   mm,7.9   mm,152   g
325,2020-08-13 18:49:54.904194,2020-08-13,2,Unieuro,Android  ,Oppo,RX17 Pro Radiant Mist,€249.00,€299.00,6   GB,128   GB,,Sì  ,Sì  ,Blu  ,AMOLED  ,"6.4   """,No,3700   mAh,157.6   mm,74.6   mm,7.9   mm,183   g
326,2020-08-13 18:50:29.235097,2020-08-13,2,Unieuro,Android  ,Oppo,Reno,€249.00,€299.00,6   GB,256   GB,Dual SIM  ,Sì  ,Sì  ,Verde  ,AMOLED  ,"6.4   """,No,3765   mAh,156.6   mm,74.3   mm,9   mm,185   g
327,2020-08-13 18:51:02.098540,2020-08-13,2,Unieuro,Android  ,Honor,VIEW 10 Lite 16.5,€219.00,€259.90,4   GB,128   GB,,,,Nero  ,,"6.5   """,TIM,3750   mAh,160.4   mm,76.6   mm,7.8   mm,175   g
328,2020-08-13 18:51:26.760020,2020-08-13,2,Unieuro,Android  ,LG,Q Stylus,€139.00,€159.99,3   GB,32   GB,SIM singola  ,Sì  ,Sì  ,Nero  ,IPS  ,"6.2   """,No,3300   mAh,160.15   mm,77.75   mm,8.4   mm,172   g
329,2020-08-13 18:52:12.109940,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy S20 Ultra,€1299.00,€1379.00,12   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,Dynamic AMOLED  ,"6.9   """,No,5000   mAh,166.9   mm,76   mm,8.8   mm,220   g
330,2020-08-13 18:53:01.713496,2020-08-13,2,Unieuro,Android  ,Honor,View 10 Lite 6.5 Doppia SIM Blu,€199.00,€199.00,4   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,,"6.5   """,No,3750   mAh,160.4   mm,76.6   mm,7.8   mm,178   g
331,2020-08-13 18:53:44.919311,2020-08-13,2,Unieuro,Android  ,Honor,View 10 Lite 6.5 Doppia SIM,€199.00,€199.00,4   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,,"6.5   """,No,3750   mAh,160.4   mm,76.6   mm,7.8   mm,178   g
332,2020-08-13 18:54:28.256690,2020-08-13,2,Unieuro,Android  ,V30,,€199.00,€199.00,4   GB,64   GB,SIM singola  ,Sì  ,Sì  ,Blu  ,OLED  ,"6   """,Vodafone,3300   mAh,151.7   mm,75.4   mm,7.3   mm,158   g
333,2020-08-13 18:55:24.738285,2020-08-13,2,Unieuro,Android  ,LG,V30,€249.00,€249.00,4   GB,64   GB,SIM singola  ,Sì  ,Sì  ,Argento  ,OLED  ,"6   """,No,3300   mAh,151.7   mm,75.4   mm,7.3   mm,158   g
334,2020-08-13 18:56:26.439087,2020-08-13,2,Unieuro,,LG,K10 2017 (M250N) SIM singola 4G 16GB Nero,€69.90,€69.90,2   GB,16   GB,SIM singola  ,Si  ,Si  ,Nero  ,IPS  ,"5.3   """,Vodafone,,148.7   mm,75.3   mm,7.9   mm,144   g
335,2020-08-13 18:57:10.319181,2020-08-13,2,Unieuro,,LG,Q6 M700A,€129.99,€129.99,3   GB,32   GB,SIM singola  ,Si  ,Si  ,Platinum  ,IPS  ,"5.5   """,Vodafone,3000   mAh,142.5   mm,69.3   mm,8.1   mm,149   g
